username,created,text,retwc,hashtag,followers,friends,location,age
Ashley Marie 💙,2018-01-21 20:43:58,b'RT @TeamUSA: \xe2\x9c\x85 QUALIFIED! He is back again! Sochi bronze medalist @NickGoepper is going to his 2nd #WinterOlympics! \xe2\x9b\xb7 \xe2\x9e\xa1\xef\xb8\x8f https://t.co/HHUVs\xe2\x80\xa6',3,WinterOlympics,137,401,
fcuk81v4,2018-01-21 20:43:57,"b""@TBEM80 I predicted that she'd been touched up inappropriately at the last Olympics.""",0,None,650,445,
✖️let me breathe let me live please✖️,2018-01-21 20:43:54,"b""RT @jiminrnb: Of course you're not doing well sir its literally youR OWn fauLT that you and yoongi rap like yall are speeding down the trac\xe2\x80\xa6""",4443,None,115,97,My house
💎 DaughterOfTheMostHighKing 💎,2018-01-21 20:43:51,"b""RT @lxsxgo: Bikini Olympics on the TL, I'm experiencing difficulty with breathing https://t.co/h36A5tW2yP""",420,None,2180,2092,Polokwane. Mokopane. Pretoria.
Roll Out the Barrel,2018-01-21 20:43:46,b'@AdamRogers2030 @HelenClarkNZ @martinfredras @NiliMajumder @ScheuerJo @wheelsofhoperis @ggonzzalezz\xe2\x80\xa6 https://t.co/5wbUVTb29p',0,None,1647,1645,"Isle of Wight, England"
NBC4 Columbus,2018-01-21 20:43:44,b'Tonga flag bearer from Rio qualifies for Winter Olympics https://t.co/Hy1Vz0Yo4i https://t.co/8Ivn10IOqb',0,None,152267,5958,"Columbus, Ohio"
MR.CARTER,2018-01-21 20:43:40,b'RT @TeamUSA: \xe2\x9c\x85 QUALIFIED! He is back again! Sochi bronze medalist @NickGoepper is going to his 2nd #WinterOlympics! \xe2\x9b\xb7 \xe2\x9e\xa1\xef\xb8\x8f https://t.co/HHUVs\xe2\x80\xa6',3,WinterOlympics,1114,296,
Hoboken Ski Club,2018-01-21 20:43:40,b'The Hoboken Ski was watching World Cup Freestyle competition from the Olympics jumping complex this weekend on our\xe2\x80\xa6 https://t.co/L1GWMboX39',0,None,736,111,"Hoboken, NJ"
Tina Padgett,2018-01-21 20:43:33,b'RT @oldnsold2013: Check out Lot Of 9 BSA Boy Scouts Rare Mug Collection Iran Piedmont Olympics   https://t.co/Jy6D9tgaWq via @eBay',2,None,1925,2285,Daytona Beach FL
bill webb,2018-01-21 20:43:29,b'RT @TeamUSA: \xe2\x9c\x85 QUALIFIED! He is back again! Sochi bronze medalist @NickGoepper is going to his 2nd #WinterOlympics! \xe2\x9b\xb7 \xe2\x9e\xa1\xef\xb8\x8f https://t.co/HHUVs\xe2\x80\xa6',3,WinterOlympics,1342,2166,new castle indiana
Burlington VT,2018-01-21 20:43:26,b'Vermonters heading to the 2018 Winter Olympics in Pyeongchang https://t.co/4VLFY1tHjy https://t.co/JZH6s3VfBJ',0,None,535,809,
Ivan Fuentes,2018-01-21 20:43:25,b'To the Sponsors of PyeongChang 2018 Winter Olympics in South Korea: please help bring an end to the d... https://t.co/TO5cXn5WPu via @Change',0,None,110,1183,
Cathy,2018-01-21 20:43:22,b'It\xe2\x80\x99s Official! North Korea Is Heading To The Winter Olympics https://t.co/adcXsqRQGR',0,None,1018,402, 
Cheezits,2018-01-21 20:43:17,b'RT @wesley_jordan: The US Olympics Gymnastics team won gold after gold despite being molested since they were little girls by their team Dr\xe2\x80\xa6',527,None,969,1311,"Massachusetts, USA"
U.S. Olympic Team,2018-01-21 20:43:09,b'\xe2\x9c\x85 QUALIFIED! He is back again! Sochi bronze medalist @NickGoepper is going to his 2nd #WinterOlympics! \xe2\x9b\xb7 \xe2\x9e\xa1\xef\xb8\x8f\xe2\x80\xa6 https://t.co/aY2ZLmx5dD',3,WinterOlympics,1934703,2271,
Mallory Wechsler,2018-01-21 20:43:08,"b""RT @IainLJBrown: Preparing Homan, Koe is Curling Canada's No. 1 Olympic priority, how is #analytics providing an advantage? #TeamCanada htt\xe2\x80\xa6""",19,analytics,18,112,"New York, USA"
tyra stankz.,2018-01-21 20:43:05,"b""RT @espn: He's baaaaaaaack. \n\nBelieve it. Pita Taufatofua, the shirtless Tongan flag-bearer from Rio 2016 has qualified for the Winter Olym\xe2\x80\xa6""",434,None,236,229,
Denver Post Olympics,2018-01-21 20:43:04,b'Vail\xe2\x80\x99s Sarah Schleper gears up for fifth Olympics https://t.co/1cHluFSrif',0,None,486,537,"Denver, CO"
Steve Ratcliffe,2018-01-21 20:43:02,b'RT @TheHirstComment: YES YES YES .......   \n\nJacob Rees-Mogg supports calls for \xe2\x80\x98biggest party since Olympics\xe2\x80\x99 to celebrate Brexit     \n\nht\xe2\x80\xa6',96,None,207,349,
Kurt,2018-01-21 20:43:02,b'RT @BedfordGBB: Shout out to all the people and the members of our basketball team who volunteered and came out to support the Bedford Spec\xe2\x80\xa6',3,None,43,170,
E. Van Every GET RID OF THE NAZIS,2018-01-21 20:43:00,"b""There's something both exasperatingly cheesy and kind of heartbreaking about Javier Fernandez skating to Man of La\xe2\x80\xa6 https://t.co/W1AMbKIPPM""",0,None,698,488,
Adam Yusuf,2018-01-21 20:42:59,"b'RT @bukolasaraki: I am super proud of Seun Adigun, Ngozi Onwumere and Akuoma Omeoga. \n\nThese 3 young women are defying all odds and making\xe2\x80\xa6'",109,None,209,541,Nigeria
TaeJin enthusiast ; a s h // semi ia,2018-01-21 20:42:52,"b""RT @jiminrnb: Of course you're not doing well sir its literally youR OWn fauLT that you and yoongi rap like yall are speeding down the trac\xe2\x80\xa6""",4443,None,721,1140,Philippines
Florian Vidal,2018-01-21 20:42:42,"b'RT @serenawilliams: This video literally gave me chills, I am so excited to watch Nigeria compete in the winter Olympics bobsledding race t\xe2\x80\xa6'",10206,None,407,53,
